Time (min)	Temperature (C)	Weight (mg)
6.929168	91.69918	10.6419
6.9375	91.78559	10.64192
6.945832	91.86786	10.64192
6.954168	91.94947	10.64193
6.9625	92.03209	10.64192
6.970834	92.12206	10.6419
6.979166	92.20324	10.64191
6.9875	92.28968	10.64192
6.995834	92.3709	10.64192
7.004166	92.45488	10.64189
7.0125	92.53876	10.64185
7.020834	92.62139	10.64178
7.029166	92.70491	10.64176
7.0375	92.79506	10.64173
7.045832	92.88586	10.6417
7.054168	92.96668	10.64171
7.0625	93.05611	10.6417
7.070832	93.14132	10.64163
7.079168	93.22212	10.64162
7.0875	93.30656	10.64163
7.095834	93.38785	10.64162
7.104166	93.47358	10.64161
7.1125	93.555	10.64159
7.120834	93.62774	10.64159
7.129166	93.71053	10.64162
7.1375	93.79462	10.64162
7.145834	93.87686	10.64163
7.154166	93.96164	10.64162
7.1625	94.0443	10.64157
7.170832	94.12701	10.64155
7.179168	94.21319	10.64157
7.1875	94.29649	10.64157
7.195832	94.37957	10.64154
7.204168	94.46525	10.6415
7.2125	94.55074	10.64137
7.220834	94.63212	10.64129
7.229166	94.71845	10.64125
7.2375	94.80095	10.64127
7.245834	94.88543	10.64127
7.254166	94.96889	10.64124
7.2625	95.05291	10.6412
7.270834	95.13756	10.64114
7.279166	95.22129	10.64113
7.2875	95.30503	10.64112
7.295832	95.38874	10.64116
7.304168	95.47444	10.64117
7.3125	95.5546	10.64117
7.320832	95.63934	10.64117
7.329168	95.72362	10.64116
7.3375	95.80618	10.64116
7.345834	95.88924	10.64116
7.354166	95.97484	10.64123
7.3625	96.05851	10.64122
7.370834	96.14031	10.6412
7.379166	96.22704	10.64121
7.3875	96.3077	10.64119
7.395834	96.39056	10.64113
7.404166	96.47951	10.64106
7.4125	96.56153	10.64104
7.420832	96.64494	10.64101
7.429168	96.73064	10.64098
7.4375	96.81562	10.64097
7.445832	96.89629	10.64093
7.454168	96.98358	10.64089
7.4625	97.06501	10.64086
7.470834	97.14991	10.64086
7.479166	97.23188	10.6409
